County,2020-21 Full- and Part-Time Administrators,"2020-21 Administrators, Average Annual Salary, Dollars","2020-21 Administrators, Average Years Experience","2020-21 Female Administrators, Percent","2020-21 Minority Administrators, Percent",2020-21 Full- and Part-Time Support Personnel,"2020-21 Support Personnel, Average Annual Salary, Dollars",2020-21 Full- & Part-Time PK-12 Teachers,"2020-21 PK-12 Teachers, Average Annual Salary, Dollars","2020-21 PK-12 Teachers, Average Annual Salary, Rank","2020-21 PK-12 Teachers, Average Years Experience","2020-21 PK-12 Teachers with Less Than 1 Year Experience, Percent","2020-21 PK-12 Teachers with More Than 30 Years Experience, Percent","2020-21 PK-12 Teachers with Advanced Degrees, Percent","2020-21 Female PK-12 Teachers, Percent","2020-21 Minority PK-12 Teachers, Percent",2020-21 Students per PK-12 Teacher,2020-21 Public Schools,2019 Public School CCRPI Score
HOUSTON,162,106484,22,0.648,0.321,188,74890,1979,65186,6,14,0.034,0.015,0.696,0.808,0.25,0,37,83.1
IRWIN,19,91620,22,0.632,0.316,13,71113,121,60924,29,15,0.041,0.05,0.653,0.777,0.099,0,3,75.5
JACKSON,44,99191,23,0.682,0.045,72,68518,599,61121,25,14,0.098,0.04,0.713,0.811,0.047,0,10,78.9
JASPER,19,95230,24,0.737,0.158,12,67818,164,57912,73,15,0.061,0.098,0.591,0.793,0.116,0,4,74.9
JEFF DAVIS,21,78731,22,0.429,0,27,62681,194,55246,120,17,0.026,0.072,0.608,0.784,0.041,0,4,70.8
JEFFERSON,19,93677,26,0.684,0.474,28,69210,182,54735,129,12,0.088,0.055,0.533,0.742,0.516,0,5,65.8
JENKINS,15,84075,24,0.667,0.067,5,68052,95,59081,55,18,0.011,0.116,0.695,0.821,0.168,0,3,72.1
JOHNSON,12,88755,26,0.5,0.417,6,66410,79,55302,119,14,0.089,0.063,0.532,0.772,0.177,0,3,75
JONES,31,98185,25,0.581,0.258,46,60857,371,58177,64,16,0.046,0.049,0.609,0.827,0.094,0,7,74.9
LAMAR,16,91732,26,0.438,0.438,17,65753,174,55031,124,14,0.034,0.034,0.575,0.747,0.253,0,4,63
